filename,path,word
YARN - Fuck - Payback - Video clips by quotes - c9a5d45f - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Payback - Video clips by quotes - c9a5d45f - 紗.wav,Fuck
2a0b413e_nohash_0,Dataset\mono_audio\Other\2a0b413e_nohash_0.wav,Other
YARN - Shit - Runaways (2017) - S01E03 Destiny - Video clips by quotes - 884b8cc9 - 紗,Dataset\mono_audio\Shit\YARN - Shit - Runaways (2017) - S01E03 Destiny - Video clips by quotes - 884b8cc9 - 紗.wav,Shit
3c257192_nohash_0,Dataset\mono_audio\Other\3c257192_nohash_0.wav,Other
5e3dde6b_nohash_0,Dataset\mono_audio\Other\5e3dde6b_nohash_0.wav,Other
YARN - Shit - Warrior Nun (2020) - S01E07 Ephesians 4-22-24 - Video clips by quotes - 74111dbf - 紗,Dataset\mono_audio\Shit\YARN - Shit - Warrior Nun (2020) - S01E07 Ephesians 4-22-24 - Video clips by quotes - 74111dbf - 紗.wav,Shit
YARN - Fuck - The Offer (2022) - S01E06 A Stand Up Guy - Video clips by quotes - 433c742d - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - The Offer (2022) - S01E06 A Stand Up Guy - Video clips by quotes - 433c742d - 紗.wav,Fuck
YARN - Shit! - Squid Game (2021) - S01E05 A Fair World - Video clips by quotes - b09a0d42 - 紗,Dataset\mono_audio\Shit\YARN - Shit! - Squid Game (2021) - S01E05 A Fair World - Video clips by quotes - b09a0d42 - 紗.wav,Shit
1cb788bc_nohash_0,Dataset\mono_audio\Other\1cb788bc_nohash_0.wav,Other
YARN - Shit - Dune (2021) - Video clips by quotes - 8072aa52 - 紗,Dataset\mono_audio\Shit\YARN - Shit - Dune (2021) - Video clips by quotes - 8072aa52 - 紗.wav,Shit
YARN - Shit! - Payback - Video clips by quotes - 045b4d3b - 紗,Dataset\mono_audio\Shit\YARN - Shit! - Payback - Video clips by quotes - 045b4d3b - 紗.wav,Shit
YARN - Fuck - Jack Ryan (2017) - S02E06 Persona Non Grata - Video clips by quotes - 0c9be7f6 - 紗,Dataset\mono_audio\Fuck\YARN - Fuck - Jack Ryan (2017) - S02E06 Persona Non Grata - Video clips by quotes - 0c9be7f6 - 紗.wav,Fuck
0ab3b47d_nohash_1,Dataset\mono_audio\Other\0ab3b47d_nohash_1.wav,Other
